Latitude,Longitude,City,Month,Day,Minutes,% of day duration,Zip
38.140258,-83.533691,Farmers,1,15,588.37,0.409,40319
36.614839,-88.5005,Farmington,1,15,595.96,0.414,42040
37.424071,-82.23762,Fedscreek,1,15,591.96,0.411,41524
37.067452,-84.60301,Ferguson,1,15,593.74,0.412,42533
38.147801,-85.33158,Finchville,1,15,588.34,0.409,40022
38.688142,-83.04838,Firebrick,1,15,585.56,0.407,41137
38.182772,-85.43238,Fisherville,1,15,588.16,0.408,40023
37.30636,-83.090441,Fisty,1,15,592.55,0.411,41743
36.867971,-83.74576,Flat Lick,1,15,594.71,0.413,40935
37.933492,-82.90279,Flatgap,1,15,589.41,0.409,41219
38.52032,-82.72175,Flatwoods,1,15,586.42,0.407,41139
38.418131,-83.72497,Flemingsburg,1,15,586.95,0.408,41041
38.983853,-84.64401,Florence,1,15,584.03,0.406,41042
38.962372,-84.747789,Florence,1,15,584.14,0.406,41022
37.968496,-84.157766,Ford,1,15,589.24,0.409,40320
37.437194,-82.518527,Fords Branch,1,15,591.9,0.411,41526
37.655016,-86.69303,Fordsville,1,15,590.83,0.41,42343
37.641773,-82.27793,Forest Hills,1,15,590.88,0.41,41527
36.654943,-87.46188,Fort Campbell,1,15,595.77,0.414,42223
37.895491,-85.9662,Fort Knox,1,15,589.62,0.409,40121
39.0358,-84.546445,Fort Mitchell,1,15,583.76,0.405,41000
39.076011,-84.45127,Fort Thomas,1,15,583.55,0.405,41075
39.08359,-84.450912,Fort Thomas,1,15,583.51,0.405,41705
38.765448,-84.16998,Foster,1,15,585.16,0.406,41043
36.721319,-85.96139,Fountain Run,1,15,595.44,0.413,42133
36.871254,-83.829985,Fourmile,1,15,594.7,0.413,40939
36.607234,-83.92535,Frakes,1,15,595.99,0.414,40940
38.201649,-84.86935,Frankfort,1,15,588.06,0.408,40601
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40619
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40618
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40622
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40604
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40620
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40621
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40603
38.234133,-84.874809,Frankfort,1,15,587.89,0.408,40602
36.718074,-86.58202,Franklin,1,15,595.46,0.414,42134
36.758166,-86.581957,Franklin,1,15,595.26,0.413,42135
37.216778,-88.01438,Fredonia,1,15,593.01,0.412,42411
37.220735,-88.061294,Fredonia,1,15,592.99,0.412,42011
37.561944,-82.13471,Freeburn,1,15,591.28,0.411,41528
37.937105,-83.63429,Frenchburg,1,15,589.4,0.409,40322
39.036361,-84.56801,Ft Mitchell,1,15,583.75,0.405,41017
36.532059,-88.89132,Fulton,1,15,596.37,0.414,42041
36.655006,-85.80866,Gamaliel,1,15,595.76,0.414,42140
37.690636,-83.074592,Gapville,1,15,590.63,0.41,41433
37.675627,-86.23001,Garfield,1,15,590.72,0.41,40140
37.36778,-82.91535,Garner,1,15,592.25,0.411,41817
37.176075,-83.66608,Garrard,1,15,593.2,0.412,40941
37.470216,-82.8409,Garrett,1,15,591.74,0.411,41630
38.570194,-83.14301,Garrison,1,15,586.17,0.407,41141
37.328336,-83.4399,Gays Creek,1,15,592.44,0.411,41745
38.221179,-84.55465,Georgetown,1,15,587.96,0.408,40324
38.63785,-83.96651,Germantown,1,15,585.82,0.407,41044
38.724439,-85.05007,Ghent,1,15,585.38,0.407,41045
36.97877,-88.28273,Gilbertsville,1,15,594.19,0.413,42044
36.947113,-83.8506,Girdler,1,15,594.33,0.413,40943
36.946326,-85.957797,Glasgow,1,15,594.34,0.413,42142
36.970776,-85.91232,Glasgow,1,15,594.22,0.413,42141
38.742296,-84.81223,Glencoe,1,15,585.28,0.406,41046
37.59641,-85.92294,Glendale,1,15,591.12,0.41,42740
36.98182,-85.22988,Glens Fork,1,15,594.16,0.413,42741
38.309597,-85.643359,Glenview,1,15,587.51,0.408,40025
37.147687,-83.737014,Goose Rock,1,15,593.34,0.412,40944
36.98586,-83.06497,Gordon,1,15,594.13,0.413,41819
38.411964,-85.57066,Goshen,1,15,586.99,0.408,40026
36.847924,-87.6579,Gracey,1,15,594.83,0.413,42232
37.098391,-85.50199,Gradyville,1,15,593.59,0.412,42742
37.240117,-87.29396,Graham,1,15,592.89,0.412,42344
38.282767,-83.0727,Grahn,1,15,587.64,0.408,41142
37.031683,-88.24498,Grand Rivers,1,15,593.93,0.412,42045
37.561722,-85.0227,Gravel Switch,1,15,591.29,0.411,40328
36.930995,-83.98146,Gray,1,15,594.4,0.413,40734
37.395468,-83.908492,Gray Hawk,1,15,592.11,0.411,40434
36.797447,-83.264497,Grays Knob,1,15,595.06,0.413,40829
38.323106,-82.94997,Grayson,1,15,587.43,0.408,41143
38.338445,-82.939541,Grayson,1,15,587.35,0.408,41163
36.966634,-83.83413,Green Road,1,15,594.23,0.413,40946
37.234802,-85.51436,Greensburg,1,15,592.91,0.412,42743
38.552472,-82.86514,Greenup,1,15,586.26,0.407,41144
37.166299,-87.18333,Greenville,1,15,593.26,0.412,42345
37.479754,-82.64922,Grethel,1,15,591.69,0.411,41631
36.772301,-83.33415,Gulston,1,15,595.18,0.413,40830
37.555846,-82.94995,Gunlock,1,15,591.31,0.411,41632
37.894075,-86.20383,Guston,1,15,589.62,0.409,40142
36.673268,-87.18089,Guthrie,1,15,595.68,0.414,42234
36.983441,-86.394012,Hadley,1,15,594.16,0.413,42235
37.780917,-82.82744,Hagerhill,1,15,590.18,0.41,41222
38.206706,-83.41725,Haldeman,1,15,588.03,0.408,40329
36.782131,-86.184088,Halfway,1,15,595.14,0.413,42150
37.088069,-82.99728,Hallie,1,15,593.63,0.412,41821
36.6033,-88.092285,Hamlin,1,15,596.02,0.414,42046
37.2948,-88.41026,Hampton,1,15,592.63,0.412,42047
37.425687,-87.495,Hanson,1,15,591.97,0.411,42413
37.204045,-83.09845,Happy,1,15,593.06,0.412,41746
37.300202,-83.122477,Hardburly,1,15,592.58,0.412,41747
36.765893,-88.26527,Hardin,1,15,595.23,0.413,42048
37.777083,-86.48345,Hardinsburg,1,15,590.21,0.41,40143
37.599893,-82.23349,Hardy,1,15,591.09,0.41,41531
37.199656,-85.73469,Hardyville,1,15,593.09,0.412,42746
36.828285,-83.31856,Harlan,1,15,594.91,0.413,40831
37.750101,-86.39972,Harned,1,15,590.35,0.41,40144
37.509291,-82.63494,Harold,1,15,591.54,0.411,41635
38.329718,-85.63299,Harrods Creek,1,15,587.41,0.408,40027
37.773923,-84.85812,Harrodsburg,1,15,590.22,0.41,40330
37.471839,-86.9063,Hartford,1,15,591.74,0.411,42347
37.882498,-86.76297,Hawesville,1,15,589.68,0.41,42348
37.274854,-83.19061,Hazard,1,15,592.71,0.412,41701
37.320076,-83.206495,Hazard,1,15,592.48,0.411,41702
36.511681,-88.32543,Hazel,1,15,596.46,0.414,42049
37.797688,-83.36866,Hazel Green,1,15,590.1,0.41,41332
39.0805,-84.68754,Hebron,1,15,583.52,0.405,41048
37.556255,-83.776253,Heidelberg,1,15,591.31,0.411,41333
36.897618,-83.87252,Heidrick,1,15,594.57,0.413,40949
37.2701,-82.48553,Hellier,1,15,592.73,0.412,41534
36.949181,-83.43129,Helton,1,15,594.31,0.413,40840
37.825094,-87.56055,Henderson,1,15,589.98,0.41,42420
37.807173,-87.599052,Henderson,1,15,590.07,0.41,42419
36.705024,-87.59935,Herndon,1,15,595.52,0.414,42236
36.63667,-85.55275,Hestand,1,15,595.85,0.414,42151
37.398774,-82.73257,Hi Hat,1,15,592.09,0.411,41636
36.558598,-89.19789,Hickman,1,15,596.24,0.414,42050
36.852344,-88.63769,Hickory,1,15,594.81,0.413,42051
38.286314,-83.6512,Hillsboro,1,15,587.62,0.408,41049
37.147687,-83.737014,Hima,1,15,593.34,0.412,40951
37.333551,-82.97212,Hindman,1,15,592.42,0.411,41822
36.943114,-83.81984,Hinkle,1,15,594.34,0.413,40953
37.098753,-85.816472,Hiseville,1,15,593.59,0.412,42152
38.272476,-82.90494,Hitchins,1,15,587.69,0.408,41146
37.566527,-85.71452,Hodgenville,1,15,591.27,0.411,42748
36.665767,-86.04006,Holland,1,15,595.71,0.414,42153
36.868363,-82.96607,Holmes Mill,1,15,594.71,0.413,40843
38.016706,-83.76639,Hope,1,15,588.99,0.409,40334
36.898071,-87.496529,Hopkinsville,1,15,594.58,0.413,42241
36.866845,-87.47617,Hopkinsville,1,15,594.73,0.413,42240
37.433703,-86.66952,Horse Branch,1,15,591.93,0.411,42349
37.176738,-85.88288,Horse Cave,1,15,593.2,0.412,42749
37.058837,-83.38533,Hoskinston,1,15,593.77,0.412,40844
37.598267,-82.27611,Huddy,1,15,591.09,0.41,41535
37.652706,-86.3173,Hudson,1,15,590.84,0.41,40145
37.493888,-82.94192,Hueysville,1,15,591.62,0.411,41640
36.786271,-83.52009,Hulen,1,15,595.11,0.413,40845
37.157967,-86.885846,Huntsville,1,15,593.3,0.412,42251
37.431549,-84.81256,Hustonville,1,15,591.94,0.411,40437
37.17621,-83.38301,Hyden,1,15,593.2,0.412,41749
38.941953,-84.54902,Independence,1,15,584.25,0.406,41051
37.866327,-82.52903,Inez,1,15,589.75,0.41,41224
36.769184,-83.708181,Ingram,1,15,595.2,0.413,40955
37.694764,-83.9771,Irvine,1,15,590.62,0.41,40336
37.88108,-86.31377,Irvington,1,15,589.69,0.41,40146
37.456942,-87.17107,Island,1,15,591.82,0.411,42350
37.398617,-83.704908,Island City,1,15,592.1,0.411,41338
37.194426,-82.88714,Isom,1,15,593.1,0.412,41824
38.061324,-83.05005,Isonville,1,15,588.77,0.409,41149
37.587011,-82.66028,Ivel,1,15,591.15,0.411,41642
37.690636,-83.074592,Ivyton,1,15,590.63,0.41,41444
37.215305,-82.70468,Jackhorn,1,15,593,0.412,41825
37.533559,-83.34547,Jackson,1,15,591.42,0.411,41339
38.225087,-83.242129,Jacobs,1,15,587.93,0.408,41150
36.946642,-85.09981,Jamestown,1,15,594.33,0.413,42629
37.207333,-83.13361,Jeff,1,15,593.04,0.412,41751
37.9615,-83.8438,Jeffersonville,1,15,589.27,0.409,40337
37.192483,-82.6235,Jenkins,1,15,593.11,0.412,41537
37.164562,-82.93047,Jeremiah,1,15,593.25,0.412,41826
